route,component,answer_text,next_or_outcome
/exemption/construction/new/pontoons/approval,Radio,Yes,/exemption/construction/new/pontoons/deck
/exemption/construction/new/pontoons/approval,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/new/pontoons/deck,Radio,Yes,/exemption/construction-exe-not-available-continue
/exemption/construction/new/pontoons/deck,Radio,No,/exemption/construction/new/pontoons/quantity
/exemption/construction/new/pontoons/quantity,Radio,Yes,/exemption/licence-not-required-exemption-available-article-25A-mmo-approval
/exemption/construction/new/pontoons/quantity,Radio,No,/exemption/licence-not-required-exemption-available-article-25A
/exemption/construction/new/flood-emergency,Radio,Yes,/exemption/construction/new/flood-emergency/validation
/exemption/construction/new/flood-emergency,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/new/flood-emergency/validation,Radio,Yes,/exemption/licence-not-required-exemption-available-article-20
/exemption/construction/new/flood-emergency/validation,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/new/cables,Radio,The transfer of data,/exemption/construction/new/cables/location
/exemption/construction/new/cables,Radio,The transfer of electricity,/exemption/construction/new/cables/location
/exemption/construction/new/cables,Radio,Renewable energy export,/exemption/construction-exe-not-available-continue
/exemption/construction/new/cables,Radio,Other,/exemption/construction-exe-not-available-continue
/exemption/construction/new/cables/location,Radio,Wholly inside 12NM,/exemption/construction-exe-not-available-continue
/exemption/construction/new/cables/location,Radio,Wholly outside 12NM,/exemption/licence-not-required-cables
/exemption/construction/new/cables/location,Radio,Part inside 12NW part outside 12NM,/exemption/licence-required-no-exemption-part-cables
/exemption/construction/new/pipelines,Radio,Oil and gas pipeline,/exemption/construction/new/pipelines/oil-and-gas/purpose
/exemption/construction/new/pipelines,Radio,Other pipelines,/exemption/construction-exe-not-available-continue
/exemption/construction/new/pipelines/oil-and-gas/purpose,Radio,something done in the course of carrying on an activity for which a licence under section 3 of the Petroleum Act 1998 or section 2 of the Petroleum (Production) Act 1934 is required,/exemption/licence-not-required-exemption-available-Section-77
/exemption/construction/new/pipelines/oil-and-gas/purpose,Radio,something done for the purpose of constructing or maintaining a pipeline as respects any part of which an authorisation (within the meaning of Part 3 of the Petroleum Act 1998) is in force;,/exemption/licence-not-required-exemption-available-Section-77
/exemption/construction/new/pipelines/oil-and-gas/purpose,Radio,something done for the purpose of establishing or maintaining an offshore installation (within the meaning of Part 4 of the Petroleum Act 1998;,/exemption/licence-not-required-exemption-available-Section-77
/exemption/construction/new/pipelines/oil-and-gas/purpose,Radio,Other,/exemption/construction-exe-not-available-continue
/exemption/construction/new/carbon-storage,Radio,Yes,/exemption/licence-not-required-exemption-available-Section-77
/exemption/construction/new/carbon-storage,Radio,No,/exemption/licence-required-no-exemption
/exemption/construction/new/miscellaneous,Radio,Bored tunnels,/exemption/construction/new/miscellaneous/bored-tunnel
/exemption/construction/new/miscellaneous,Radio,Licensed deepsea mining,/exemption/construction/new/miscellaneous/deepsea-mining
/exemption/construction/new/miscellaneous,Radio,Scheduled works authorised under the Crossrail Act 2008,/exemption/construction/new/miscellaneous/crossrail-act
/exemption/construction/new/miscellaneous,Radio,Carbon Dioxide Storage,/exemption/construction/new/carbon-storage
/exemption/construction/new/miscellaneous,Radio,Other,/exemption/construction-exe-not-available-continue
/exemption/construction/new/miscellaneous/deepsea-mining,Radio,In pursuance of an exploration or exploitation licence issued under the Deep Sea Mining (Temporary Provision) Act 1981,/exemption/licence-not-required-exemption-available-article-30
